wavelength,species,ep,gf,hd28099,hd29310,vestaOct
4630.12,26,2.28,-2.52,80.9,71.7,72.7
4799.41,26,3.64,-2.13,42.9,35.3,35.5
4800.64,26,4.14,-1.1,83.8,71.6,69
4802.88,26,3.64,-1.51,70.1,64.9,61.2
4961.91,26,3.63,-2.19,32.1,24.1,25.6
4962.57,26,4.18,-1.18,64.5,59.1,55.3
5044.21,26,2.85,-2.06,85.7,78.4,75.4
5054.64,26,3.64,-1.98,46.8,43.1,40.8
5127.36,26,0.91,-3.33,103.4,92.6,94.5
5197.94,26,4.3,-1.54,46,41.2,37.5
5198.71,26,2.22,-2.14,113.7,106,99.3
5217.92,26,3.64,-1.72,61.3,53.1,49.7
5223.18,26,3.64,-1.78,34.1,26.1,28.8
5242.49,26,3.63,-0.97,99.1,89.9,86.5
5243.77,26,4.26,-0.99,72.6,64.3,61.6
5288.52,26,3.69,-1.51,67.4,60.7,58.2
5293.96,26,4.14,-1.77,41.3,34.4,
5295.31,26,4.42,-1.59,36.9,29.7,
5321.1,26,4.43,-1.26,50.5,,41.4
5379.57,26,3.69,-1.51,70.7,,62.5
5386.33,26,4.15,-1.67,40.2,,32.5
5398.28,26,4.45,-0.63,82.5,,70.9
5441.34,26,4.31,-1.63,41.2,,30.5
5464.28,26,4.14,-1.4,43.1,,35.9
5522.45,26,4.21,-1.45,,48.4,45.8
5543.94,26,4.22,-1.04,,66.5,63.6
5546.51,26,4.37,-1.21,,52.1,53.3
5560.21,26,4.43,-1.09,,56,52.6
5618.63,26,4.21,-1.27,59.3,53.7,50.3
5619.6,26,4.39,-1.6,43,34.9,34.7
5635.82,26,4.26,-1.79,41.7,36.3,34.6
5638.26,26,4.22,-0.77,89.6,82.5,79.1
5650.71,26,5.09,-0.86,51.8,50.8,41.4
5661.35,26,4.28,-1.76,30.5,24.2,22
5679.02,26,4.65,-0.82,71.9,65.9,60.6
5696.09,26,4.55,-1.72,18.8,16.9,14.2
5701.54,26,2.56,-2.16,96.1,86.1,84.1
5705.46,26,4.3,-1.35,46.6,39,38.3
5741.85,26,4.26,-1.67,41.7,39.7,32.4
5752.03,26,4.55,-1.18,65.4,59.2,55.3
5775.08,26,4.22,-1.3,70.2,61.9,61.5
5778.45,26,2.59,-3.43,29.3,22.1,22.2
5793.91,26,4.22,-1.62,43.1,36,35.1
5806.73,26,4.61,-0.95,64.7,58.8,56.5
5809.22,26,3.88,-1.71,62.6,56,51.2
5837.7,26,4.29,-2.24,13.6,10.6,10
5852.22,26,4.55,-1.23,50.8,45.6,41
5855.08,26,4.61,-1.48,30.1,28,23.5
5856.09,26,4.29,-1.46,40.8,36.9,34.6
5859.59,26,4.55,-0.42,84.9,81,73.4
5862.36,26,4.55,-0.13,102.2,97.2,90.2
5905.67,26,4.65,-0.69,69.3,64.7,62.8
5929.68,26,4.55,-1.31,50,44.7,41.1
5956.69,26,0.86,-4.55,57.9,48.3,53
6027.05,26,4.08,-1.09,74.5,70.7,64.7
6056.01,26,4.73,-0.46,84.2,77.8,74.2
6078.49,26,4.8,-0.32,91.9,86.3,78.6
6079.01,26,4.65,-1.02,55.8,49.1,46.1
6085.26,26,2.76,-3.05,51.6,44.6,44.2
6093.64,26,4.61,-1.3,39.1,34.2,30.9
6096.67,26,3.98,-1.81,47.1,40,39.2
6151.62,26,2.18,-3.31,58.3,50.3,49.6
6165.36,26,4.14,-1.47,51.5,51.6,45.3
6173.33,26,2.22,-2.88,81,69.7,69.7
6187.99,26,3.94,-1.62,58.5,49,52.3
6200.31,26,2.61,-2.42,86.4,78.5,75.7
6219.28,26,2.2,-2.43,107,97.4,89.9
6252.56,26,2.4,-1.69,142.4,129.2,125.2
6265.13,26,2.18,-2.55,101.1,94,88.3
6335.33,26,2.2,-2.26,114,102.8,98.4
6344.15,26,2.43,-2.92,70.5,58.2,60.5
6380.74,26,4.19,-1.32,62.6,55,53.8
6393.6,26,2.43,-1.6,148.6,137.4,129.9
6421.35,26,2.28,-2.02,141.6,128.7,121.3
6430.85,26,2.18,-2.01,131.1,122.3,118.3
6498.94,26,0.96,-4.7,56.6,47.4,47.2
6593.87,26,2.43,-2.39,98.9,89.2,84.4
6597.56,26,4.8,-0.97,54.1,48.1,44.7
6703.57,26,2.76,-3.02,47.2,40.2,38.2
6705.1,26,4.61,-0.98,57.8,50.7,47.4
6713.75,26,4.8,-1.4,28.5,23.3,21.3
6750.15,26,2.42,-2.62,86.4,78.6,73.8
6752.71,26,4.64,-1.22,47.2,40.9,38
6810.26,26,4.61,-0.99,60.1,54.9,52.5
6828.59,26,4.64,-0.82,67.9,61.9,56.7
6841.34,26,4.61,-0.71,82.5,73.2,69.9
6843.66,26,4.55,-0.83,71.4,60,62
6855.16,26,4.56,-0.74,82.8,71,72.6
6858.15,26,4.61,-0.94,61.1,58.8,51.5
5132.66,26.1,2.81,-4.17,29,33.4,23.7
5414.07,26.1,3.22,-3.58,33.1,37,27.5
5425.26,26.1,3.2,-3.22,46.5,51.3,41.2
5525.12,26.1,3.27,-3.94,16.3,19,13.3
6084.09,26.1,3.2,-3.83,25.3,28.7,21.9
6149.24,26.1,3.89,-2.75,44.3,50.3,36
6238.38,26.1,3.89,-2.63,53,58.7,45.7
6369.46,26.1,2.89,-4.11,22.7,25.6,18.9
6432.68,26.1,2.89,-3.57,49.4,58.7,42.2
5052.167,6,7.685,-1.304,40.1,49.5,33.7
5380.3369,6,7.685,-1.615,24.5,34.8,21.2
6587.6099,6,8.537,-1.021,18.8,24.5,13.3
7111.469,6,8.64,-1.074,14.4,20.5,9.5
7771.9438,8,9.146,0.352,83.8,102.7,70.6
7774.1611,8,9.146,0.223,74.9,91.6,61.2
7775.3901,8,9.146,0.002,56.5,71.1,49
5853.696,56.1,0.604,-2.915,77.9,77.9,65.4
-5853.697,56.1,0.604,-2.857,0,0,0
-5853.697,56.1,0.604,-3.148,0,0,0
-5853.698,56.1,0.604,-3.09,0,0,0
-5853.699,56.1,0.604,-3.295,0,0,0
-5853.699,56.1,0.604,-3.061,0,0,0
-5853.7,56.1,0.604,-2.76,0,0,0
-5853.7,56.1,0.604,-3.693,0,0,0
-5853.7,56.1,0.604,-2.546,0,0,0
-5853.7,56.1,0.604,-2.53,0,0,0
-5853.7,56.1,0.604,-3.459,0,0,0
-5853.7,56.1,0.604,-2.313,0,0,0
-5853.7,56.1,0.604,-1.054,0,0,0
-5853.7,56.1,0.604,-2.012,0,0,0
-5853.7,56.1,0.604,-2.994,0,0,0
-5853.701,56.1,0.604,-3.295,0,0,0
-5853.702,56.1,0.604,-3.061,0,0,0
-5853.703,56.1,0.604,-2.857,0,0,0
-5853.703,56.1,0.604,-3.09,0,0,0
-5853.704,56.1,0.604,-3.148,0,0,0
-5853.704,56.1,0.604,-2.915,0,0,0
6141.695,56.1,0.704,-3.641,142.6,145.8,119.8
-6141.695,56.1,0.704,-3.407,0,0,0
-6141.697,56.1,0.704,-2.495,0,0,0
-6141.697,56.1,0.704,-2.261,0,0,0
-6141.698,56.1,0.704,-3.465,0,0,0
-6141.698,56.1,0.704,-3.231,0,0,0
-6141.699,56.1,0.704,-1.686,0,0,0
-6141.699,56.1,0.704,-1.453,0,0,0
-6141.699,56.1,0.704,-2.398,0,0,0
-6141.699,56.1,0.704,-2.164,0,0,0
-6141.7,56.1,0.704,-1.7,0,0,0
-6141.7,56.1,0.704,-0.224,0,0,0
-6141.7,56.1,0.704,-1.182,0,0,0
-6141.701,56.1,0.704,-1.892,0,0,0
-6141.701,56.1,0.704,-1.659,0,0,0
-6141.701,56.1,0.704,-2.51,0,0,0
-6141.701,56.1,0.704,-2.277,0,0,0
-6141.702,56.1,0.704,-1.909,0,0,0
-6141.702,56.1,0.704,-2.465,0,0,0
-6141.702,56.1,0.704,-2.143,0,0,0
-6141.703,56.1,0.704,-2.231,0,0,0
6496.9,56.1,0.604,-2,131.1,148.1,102.3
-6496.906,56.1,0.604,-2.764,0,0,0
-6496.907,56.1,0.604,-2.367,0,0,0
-6496.889,56.1,0.604,-3.066,0,0,0
-6496.91,56.1,0.604,-2.367,0,0,0
-6496.892,56.1,0.604,-2.367,0,0,0
-6496.896,56.1,0.604,-1.919,0,0,0
-6496.9,56.1,0.604,-1.482,0,0,0
-6496.906,56.1,0.604,-2.531,0,0,0
-6496.908,56.1,0.604,-2.133,0,0,0
-6496.888,56.1,0.604,-2.832,0,0,0
-6496.912,56.1,0.604,-2.133,0,0,0
-6496.891,56.1,0.604,-2.133,0,0,0
-6496.896,56.1,0.604,-1.686,0,0,0
-6496.9,56.1,0.604,-0.524,0,0,0
